OBJECTID,FIRST_DIST,FIRST_Z,SEC_DIST,SEC_Z,LINE_ID,SRC_TYPE,SRC_ID,SRC_NAME
-1,0.000000000000000,173.927299999995739,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,337.420134361926557,174.462299999999232,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,1147.165300564819518,175.929499999998370,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,1219.404188523888251,176.073000000003958,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,2289.309166542731873,178.080900000000838,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,3298.330484521702601,179.216000000000349,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,3646.278699935623081,179.584099999992759,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,3654.722669103919998,179.592900000003283,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,3665.474652862184939,179.605599999995320,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,3665.474652862184939,179.605599999995320,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,3763.444373739201183,179.707099999999627,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,4073.470801619931080,180.021900000007008,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,4909.340602549162213,180.823399999993853,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,5028.833704089342064,181.064899999997579,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,6040.550750385647007,182.519499999994878,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,6522.162315881505492,182.715899999995600,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,6640.516118769182867,182.715200000006007,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,6778.887274461813831,182.689799999992829,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,6913.631509070758511,182.639699999999721,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,6944.665625867219205,182.624599999995553,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
-1,7053.077552213962917,182.561499999996158,,,0,Surface,,___01_Data_01_Source_NC_DEM_tiff
